X,Y,SPECIES NAME
4369500,3252500,Acer pseudoplatanus
4252500,2785500,Acer pseudoplatanus
4241500,2977500,Acer pseudoplatanus
4535500,2749500,Acer pseudoplatanus
4233500,2842500,Acer pseudoplatanus
4172500,2772500,Acer pseudoplatanus
4205500,2860500,Acer pseudoplatanus
4249500,2873500,Acer pseudoplatanus
4142500,3211500,Acer pseudoplatanus
4099500,2941500,Acer pseudoplatanus
4299500,2829500,Acer pseudoplatanus
4463500,3453500,Acer pseudoplatanus
4081500,2906500,Acer pseudoplatanus
4340500,3460500,Acer pseudoplatanus
4284500,2907500,Acer pseudoplatanus
4256500,2757500,Acer pseudoplatanus
4347500,3108500,Acer pseudoplatanus
4233500,2826500,Acer pseudoplatanus
4074500,2962500,Acer pseudoplatanus
4389500,2727500,Acer pseudoplatanus
4236500,2790500,Acer pseudoplatanus
4307500,2839500,Acer pseudoplatanus
4337500,3430500,Acer pseudoplatanus
4236500,2782500,Acer pseudoplatanus
4272500,2775500,Acer pseudoplatanus
4463500,2735500,Acer pseudoplatanus
4249500,2831500,Acer pseudoplatanus
4180500,2800500,Acer pseudoplatanus
4215500,2808500,Acer pseudoplatanus
4197500,2876500,Acer pseudoplatanus
4202500,2888500,Acer pseudoplatanus
4527500,3321500,Acer pseudoplatanus
4112500,3109500,Acer pseudoplatanus
4547500,2885500,Acer pseudoplatanus
4215500,2868500,Acer pseudoplatanus
4583500,2870500,Acer pseudoplatanus
4211500,2876500,Acer pseudoplatanus
4216500,3214500,Acer pseudoplatanus
4123500,2930500,Acer pseudoplatanus
4358500,3414500,Acer pseudoplatanus
4157500,2805500,Acer pseudoplatanus
4257500,2811500,Acer pseudoplatanus
4310500,2917500,Acer pseudoplatanus
4258500,2789500,Acer pseudoplatanus
4244500,2769500,Acer pseudoplatanus
4120500,2958500,Acer pseudoplatanus
4148500,2795500,Acer pseudoplatanus
4208500,2884500,Acer pseudoplatanus
4199500,2836500,Acer pseudoplatanus
4174500,2898500,Acer pseudoplatanus
4172500,3368500,Acer pseudoplatanus
4220000,3119000,Acer pseudoplatanus
4162500,2769500,Acer pseudoplatanus
4416500,2846500,Acer pseudoplatanus
4326500,2758500,Acer pseudoplatanus
4313500,2981500,Acer pseudoplatanus
4280500,2931500,Acer pseudoplatanus
4313500,2992500,Acer pseudoplatanus
4522500,3072500,Acer pseudoplatanus
4335500,3404500,Acer pseudoplatanus
4087500,3008500,Acer pseudoplatanus
4240500,2772500,Acer pseudoplatanus
4539500,2889500,Acer pseudoplatanus
4427500,2742500,Acer pseudoplatanus
4296500,2765500,Acer pseudoplatanus
4052500,3180500,Acer pseudoplatanus
4185500,2726500,Acer pseudoplatanus
4527500,3393500,Acer pseudoplatanus
4590500,3300500,Acer pseudoplatanus
4158500,2751500,Acer pseudoplatanus
4548500,3487500,Acer pseudoplatanus
4170500,2796500,Acer pseudoplatanus
4298500,2923500,Acer pseudoplatanus
4386500,2769500,Acer pseudoplatanus
4265500,2985500,Acer pseudoplatanus
4323500,2838500,Acer pseudoplatanus
4250500,2921500,Acer pseudoplatanus
4238500,2770500,Acer pseudoplatanus
4541500,3397500,Acer pseudoplatanus
4234500,2928500,Acer pseudoplatanus
4359500,3040500,Acer pseudoplatanus
4097500,2981500,Acer pseudoplatanus
4142500,2769500,Acer pseudoplatanus
