X,Y,SPECIES NAME
4114500,3022500,Fagus sylvatica
4125500,3046500,Fagus sylvatica
4363500,3454500,Fagus sylvatica
4248500,3225500,Fagus sylvatica
4493500,3452500,Fagus sylvatica
4139500,3227500,Fagus sylvatica
4346500,3462500,Fagus sylvatica
4373500,3390500,Fagus sylvatica
4111500,2940500,Fagus sylvatica
4233500,2848500,Fagus sylvatica
4375500,2876500,Fagus sylvatica
4287500,2809500,Fagus sylvatica
4327500,2710500,Fagus sylvatica
4295500,3137500,Fagus sylvatica
4389500,3163500,Fagus sylvatica
4066500,2955500,Fagus sylvatica
4214500,2780500,Fagus sylvatica
4324500,3090500,Fagus sylvatica
4118500,2950500,Fagus sylvatica
4491500,3396500,Fagus sylvatica
4166500,2773500,Fagus sylvatica
4415500,3408500,Fagus sylvatica
4243500,3161500,Fagus sylvatica
4202500,3046500,Fagus sylvatica
4576500,3393500,Fagus sylvatica
4130500,3204500,Fagus sylvatica
4143500,2963500,Fagus sylvatica
4475500,3457500,Fagus sylvatica
4106500,2999500,Fagus sylvatica
4284500,3237500,Fagus sylvatica
4276500,2799500,Fagus sylvatica
4050500,2994500,Fagus sylvatica
4243500,2837500,Fagus sylvatica
4092500,3098500,Fagus sylvatica
4319500,3454500,Fagus sylvatica
4272500,3209500,Fagus sylvatica
4269500,3437500,Fagus sylvatica
4340500,3464500,Fagus sylvatica
4353500,3162500,Fagus sylvatica
4073500,2981500,Fagus sylvatica
4438500,3426500,Fagus sylvatica
4124500,3096500,Fagus sylvatica
4268500,2795500,Fagus sylvatica
4400500,2849500,Fagus sylvatica
4409000,2965500,Fagus sylvatica
4223500,3296500,Fagus sylvatica
4289500,2843500,Fagus sylvatica
4443500,3394500,Fagus sylvatica
4164500,3029500,Fagus sylvatica
4236500,2920500,Fagus sylvatica
4194500,3054500,Fagus sylvatica
4170500,2743500,Fagus sylvatica
4322500,3036500,Fagus sylvatica
4160500,2920000,Fagus sylvatica
4285500,3021500,Fagus sylvatica
4291500,3157500,Fagus sylvatica
4303500,3145500,Fagus sylvatica
4127500,3050500,Fagus sylvatica
4290500,3525500,Fagus sylvatica
4202500,2918500,Fagus sylvatica
4380500,2849500,Fagus sylvatica
4173500,3012500,Fagus sylvatica
4522500,3341500,Fagus sylvatica
4172500,3206500,Fagus sylvatica
4389500,3163000,Fagus sylvatica
4467500,3397500,Fagus sylvatica
4532500,3371500,Fagus sylvatica
4099500,2929500,Fagus sylvatica
4278500,3089500,Fagus sylvatica
4198500,3026500,Fagus sylvatica
4335500,3100500,Fagus sylvatica
4407500,3377500,Fagus sylvatica
4307500,3121500,Fagus sylvatica
4189500,3290500,Fagus sylvatica
4344500,3046500,Fagus sylvatica
4530500,3369500,Fagus sylvatica
4522500,2764500,Fagus sylvatica
4254500,2733500,Fagus sylvatica
4251500,3121500,Fagus sylvatica
4077500,2970500,Fagus sylvatica
4497500,3388500,Fagus sylvatica
4554500,3444500,Fagus sylvatica
4246500,2789500,Fagus sylvatica
4391500,3375500,Fagus sylvatica
4140500,2915500,Fagus sylvatica
4474500,3429500,Fagus sylvatica
4502500,3430500,Fagus sylvatica
4242000,3044000,Fagus sylvatica
4407500,3169500,Fagus sylvatica
4267500,2819500,Fagus sylvatica
4291500,2817500,Fagus sylvatica
4479500,3465500,Fagus sylvatica
4556000,2857500,Fagus sylvatica
4251500,3113500,Fagus sylvatica
4281500,2825500,Fagus sylvatica
4203500,3110500,Fagus sylvatica
4302500,3511500,Fagus sylvatica
4116500,3104500,Fagus sylvatica
4591500,3438500,Fagus sylvatica
4081500,3054500,Fagus sylvatica
4538500,3363500,Fagus sylvatica
4113500,2976500,Fagus sylvatica
4335000,2788500,Fagus sylvatica
4219500,3138500,Fagus sylvatica
4470500,2903500,Fagus sylvatica
4325500,3134500,Fagus sylvatica
4358500,3138500,Fagus sylvatica
4293500,2805500,Fagus sylvatica
4574500,3096500,Fagus sylvatica
4307500,2809500,Fagus sylvatica
4130500,3140500,Fagus sylvatica
4314500,3460500,Fagus sylvatica
4463500,2867500,Fagus sylvatica
4402500,3429500,Fagus sylvatica
4280500,3237500,Fagus sylvatica
4347500,3132500,Fagus sylvatica
4288500,3233500,Fagus sylvatica
4373500,2878500,Fagus sylvatica
4558500,3358500,Fagus sylvatica
4173500,2954500,Fagus sylvatica
4071500,2977500,Fagus sylvatica
4189500,2806500,Fagus sylvatica
4274500,3091500,Fagus sylvatica
4318500,2916500,Fagus sylvatica
4313500,2827500,Fagus sylvatica
4088500,2990500,Fagus sylvatica
4552500,3359500,Fagus sylvatica
4501500,3386500,Fagus sylvatica
4155500,3015500,Fagus sylvatica
4530500,3371500,Fagus sylvatica
4271500,3433500,Fagus sylvatica
4203500,2868500,Fagus sylvatica
4160500,2915500,Fagus sylvatica
4180500,3234500,Fagus sylvatica
4087500,3020500,Fagus sylvatica
4287500,2817500,Fagus sylvatica
4178500,2924500,Fagus sylvatica
4288500,3201500,Fagus sylvatica
4371500,3164500,Fagus sylvatica
4247500,2811500,Fraxinus excelsior
4387500,3017500,Fraxinus excelsior
4288500,3213500,Fraxinus excelsior
4154500,2773500,Fraxinus excelsior
4396500,2985500,Fraxinus excelsior
4428500,2850500,Fraxinus excelsior
4275500,2827500,Fraxinus excelsior
4284500,3229500,Fraxinus excelsior
4294500,3513500,Fraxinus excelsior
4056500,2989500,Fraxinus excelsior
4538500,3375500,Fraxinus excelsior
4358500,3200500,Fraxinus excelsior
4481500,3399500,Fraxinus excelsior
4397500,3233500,Fraxinus excelsior
4513500,3232500,Fraxinus excelsior
4600500,3333500,Fraxinus excelsior
4113500,2896500,Fraxinus excelsior
4244500,2747500,Fraxinus excelsior
4329500,2846500,Fraxinus excelsior
4458500,3219500,Fraxinus excelsior
4304500,2769500,Fraxinus excelsior
4196500,2784500,Fraxinus excelsior
4095500,2979500,Fraxinus excelsior
4166500,3035500,Fraxinus excelsior
4349500,2826500,Fraxinus excelsior
4109500,2900500,Fraxinus excelsior
4304500,2779500,Fraxinus excelsior
4415500,3190500,Fraxinus excelsior
4355500,3116500,Fraxinus excelsior
4428500,3424500,Fraxinus excelsior
4330500,2926500,Fraxinus excelsior
4136500,3392500,Fraxinus excelsior
4552500,3440500,Fraxinus excelsior
4312500,2915500,Fraxinus excelsior
4373500,2718500,Fraxinus excelsior
4295500,3389500,Fraxinus excelsior
4476500,3143500,Fraxinus excelsior
4358500,3416500,Fraxinus excelsior
4360500,3430500,Fraxinus excelsior
4338500,2914500,Fraxinus excelsior
4428500,3426500,Fraxinus excelsior
4153500,2961500,Fraxinus excelsior
4552500,3417500,Fraxinus excelsior
4135500,3368500,Fraxinus excelsior
4335500,3132500,Fraxinus excelsior
4169500,2834500,Fraxinus excelsior
4468500,3143500,Fraxinus excelsior
4332500,2920500,Fraxinus excelsior
4406500,2749500,Fraxinus excelsior
4136500,3021500,Fraxinus excelsior
4350500,3468500,Fraxinus excelsior
4536500,3301500,Fraxinus excelsior
4377500,3034500,Fraxinus excelsior
4292500,2751500,Fraxinus excelsior
4525500,3381500,Fraxinus excelsior
4428500,3002500,Fraxinus excelsior
4533500,3473500,Fraxinus excelsior
4481500,3447500,Picea abies
4211500,3102500,Picea abies
4542500,3433500,Picea abies
4379500,2717500,Picea abies
4296500,2877500,Picea abies
4167500,3138500,Picea abies
4360500,3050500,Picea abies
4186500,3058500,Picea abies
4147500,3115500,Picea abies
4283500,2841500,Picea abies
4075500,3010500,Picea abies
4421500,2884500,Picea abies
4121500,2972500,Picea abies
4331500,2826500,Picea abies
